date | value
1969-12-31 | 2
1970-01-01 | 3

2025-01-03 | 1

2025-00-03 | 1
2025-05-00 | 1
0000-05-10 | 1

2011--01-09 | 1
2011-01--09 | 1
-1999-09-12 | 0

2011-25-03 | 1.2
2011-06-32 | 1.2

2001-02-29 | 21
2019-02-29 | 21
2018-02-29 | 21

2014-06-31 | 21
2013-04-31 | 21
2005-09-31 | 21

201a2-01-11 | -1
2001-42-42
2001-42-42  1
1970-01-02  | 3
1970-01-02  |  3
| 2012-01-11 | 1|
2012-01-11 || 1
2000-01-01 | | 100
2012-09-30 | 252.10.56

2023-12-9 | 225a1
2015-05-09 | 22-51
2015-05-09 | -235
2015-05-09 | 1001
2015-05-09 | 1000.1
2015-05-09 | ++1000
